# MANUAL FALSE POSITIVE CITATION MATCHES
# Format: failing_key|wrong_valid_key
# These pairs will be explicitly IGNORED by the resolution script.
# Use this to prevent the script from repeatedly suggesting bad matches.

ConstitutionSL2023|ConstitutionIslamic
FreedomInformationPhilippines|FreedomInformationa
Department|surveydepartmentofsrilankaDepartmentSurvey2020
SriLanka2023|SriLanka2018
OnlineSafetyAct2024a|OnlineSafetyAct2024
DepartmentCensusStatisticsa|departmentofcommerceusaSriLanka
nationalintelligenceagencyNIA|nationalinformaticscentreGuidelinesIndian2023
SupremeCourtNepal|SupremeCourt1997
PakistanInformationCommission|PakistanTelecommunication
NationalDigitalGovernment|NationalBroadcasting
IndonesiaArchivesUS|indonesiaBadanPusat
nationalhealthsecurityofficeNHSO|nationalstatisticsofficeCensusNepal
undpReviewLegislationConistency2022|undpPromotingInclusion2023
internationaltradeadministrationThailandTrade|InternationalCovenant
FinDivBudget2023|FindingsPWYP2022
digitalgovernmentdevelopmentagencyHomepage|DigitalEconomy
CensusKeyFindingsPK2023|CensusOrdinance
sectSCO|SecuritiesExchange
TransStratFrameworkPK2023|TransparencyInternational2017
PressLawNo401999|PresidentJokowi2019
fig-digital-economy-strategy|DigitalEconomy
OnlineRegisteredVehicle|OnlineSafetya
DatasetsOpenData|datacheckMyCredit
OGPPakistanLetter2022|PakistanBilateral2021
undpCountryProgrammeDocument2017|undpPromotingInclusion2023
ActDefiningCrime2012|ActivistsInformation2022
moittPK|moiitPakistanNational2022
royalthaigovernmentNationalStrategy20182037|royDigitalPersonal2023
Openbudgetsindiaorg|opengovernmentpartnershipPolicyProgress
CommentsESafetyBill2023|rajapakseCommentsCyber2023
DialogAxiataMIT|DigitalID
PostgraduateMedical2023|popielUnderstandingChallenges2022
ictasrilankaNationalDataSharing2013|NationalPolicy2013
specialbranchbureauRoyalThaiPolice|SpeakersAct
StakeholderConsultationSri|srilankacertProposedInformation
DataDisseminationPakistan|datacheckMyCredit
ISOIEC27002|SocialMedia2023
ThaiLISDigitalCollection|tharoorProtectionTraditional
ActCreatingDepartment2016|ActivistsInformation2022
fig-national-policy-framework|ITPolicy
ecpgovdatabase|ecppakistanCheckYour
OGPAbout2023|ONDCProject2022
CRIBScoreReports|ResourcesOpen
ActPunishEspionage1941|ActivistsInformation2022
MetDept|DepartmentLand
ISOIEC27018|icfossICFOSS2016
MonthlyEconomicUpdates|TelecommunicationRules
PMDCProfessionalEthics|ProposedOnline
mouSLPak2016|GoogleMaps2014
DigitalIDLaunch|DialogAxiata
IDRCHarnessingDataDemocratic|SASData
FinDivPK|IndividualPrivacy
LankaSignCertificationService|LegalPractitioners
mofagaLocalBudget|AmendingDILG2019
nepalCopyrightAct2002|CopyrightAct
kasikornbankTransparencyDataDisclosure|khanTranslationTransition
GenderSummary2023|salkeverCommentaryWhy2022
MoCCVisionClimate|MinistryIT
armedforcessecuritycenterAFSC|EmergencyRegulations
AMLA2001Amended2018|ASEANTrade2020
PCCNotificationForm|ictaPublicConsultation
SECPrivacyPolicy|SCSays
AssamITPolicy2009|FoodDrug2009
DepartmentCensusStatistics|DepartmentLand
DepartmentCensusStatisticsb|DepartmentLand
DepartmentCensusStatistics|departmentofcommerceusaSriLanka
DepartmentCensusStatisticsb|departmentofcommerceusaSriLanka
