# MANUAL TRUE POSITIVE CITATION MATCHES
# Format: failing_key|correct_valid_key
# These pairs will be explicitly ACCEPTED by the resolution script.
# Use this to force a specific match even if the score is low or ambiguous.

12PrinciplesGood|12Principles2008
AICWarnsSri2023|digitalwatchobservatoryAICWarns2023
AMLA2001Amended2018|philippinesImplementingRulesAMLA2018
ActCarrying2022|thailandEgovAct2022
ActDefiningCrime2012|philippinesTerrorismFinancingAct2012
ActPunishEspionage1941|philippinesEspionageAct1941
AntiMoneyLaunderingAct2003|philippinesAMLAAmendment2003
AntiTerrorismAct20202020|philippinesAntiTerrorismAct2020
AssamITPolicy2009|assamITPolicy2009
BankingAct2021|srilankaBankingAct2021
CDACFreeOpen2018|CDACFree2018
CRIBScoreReports|CRIBScore
CommunityBasedMonitoringSystem2019|philipinnesCommunityMonitoringAct2019
ComputerRelatedCrimeAct2007|thailandComputerRelatedCrimeAct2007
ConstitutionPK1973|pakistanConstitution1973
ConstitutionSL2023|srilankaConstitutionDemocratic2023
CopyrightAct1957a|indiaCopyrightAct1957
CorruptionAct2023|srilankaCorruptionAct2023
CreditInformationBureau1990|CreditInformation1990
CybercrimePreventionAct2012|philipinnesCybercrimePreventionAct2012
DataProtectionBill2020|DataProtection2020
DepartmentCensusStatisticsb|srilankaDepartmentCensusOrdinance2024
DepartmentCensusStatistics|srilankaDepartmentCensusDissemination2023
Department|srilankaSurveyDept2014
DialogAxiataMIT|DialogAxiata
DigitalDocumentManagement|ictaDigitalDocument2023
DraftNational2023|srilankaDraftNational2023
DraftRevisedCloud2025|DraftRevised2025
EGovernmentMasterplan20222019|EGovernmentMasterplan2019
EconomicSurvey2022|governmentofpakistanministryoffinancePakistanEconomic
ElectronicTransactionERegistration2019|srilankaElectronicTransaction2019
ElectronicTransactions2006|srilankaElectronicTransactionsAct2006
ElectronicTransactionsAct2017|srilankaElectronicTransactions2017
FinanceBusinessAct2022|srilankaFinanceBusinessAct2022
FrameworkNationalArchives2024|srilankaFrameworkNational2024
GazetteOperationPersonal2024|srilankaGazetteOperation2024
GenderSummary2023|unwomenSummarynrswinlfinal2023
GoogleMapsLaunches2014|GoogleMaps2014
GovernmentOpenData|indiaGODL2017
GovernmentProcurementReform2003|philippinesGovernmentProcurementReformAct2003
HowBestKeep2025|srilanklaElectronicTransactionAct2019
ISOIEC27018|ISOIEC27018
ITPolicy2000|pakistanITPolicy2000
IndiaCopyrightAmendmentAct2012|indiaCopyrightAmendment2012
IndonesiaArchivesUS|indonesiaArchivesIndex
InformationClassificationPolicy|ictaInformationClassification2023
InformationCommunicationTechnology2003|srilankaICTAct2003
InformationCommunicationTechnologya|ictaNatPolicyFramework
InformationCommunicationTechnologyb|ictaNatFuelPass
InformationCommunicationTechnologyc|ictaConnectedGovernment
InformationCommunicationTechnology|ictaHomepage
InstitutionalizingPhilippineOpen2023|philippinesOpen Government Partnership2023
IntellectualProperty2003|srilankaIntellectualPropertyAct2003
InvitationProvideInput2023|InvitationProvide2023
KhakivRawalpindiSC2009|Khaki2009
LankaSignCertificationService|LankaSignCertification
LegalCommentariesSelected2022|pinto-jayawardenaLegalCommentaries2022
MajorFOSSInitiatives2021|MajorFOSS2021
MinimumInformationSecurity2021|MinimumInformation2021
MohamedRazikMohamed2023|MohamedRazik2023
MutualAssistanceCriminal2002|srilankaMutualAssistanceAct2002
MutualAssistanceCriminal2018|srilankaMutualAssistanceAmdtAct2018
NationalAIStrategy2024|srilankaNationalAI2024
NationalArchivesLaw1973|srilankaNationalArchives1973
NationalCyberSecurity2023a|nepalNationalCyber2023
NationalDigitalGovernment|srilankaDigitalGovernancePolicy2023
NationalPolicy2012|indiaNationalPolicyIT2012
NationalPolicy2019|indiaNationalPolicySoftware2019
NationalPolicyInformation2012|indiaNationalPolicy2012
NepalEGovernmentInteroperability2011|pricewaterhousecoopersNepalEGovernment2011
OnlineRegisteredVehicle|OnlineRegistered
OnlineSafetyAct2024a|srilankaOnlineSafetyAct2024
OnlineSafetyAct2024|newswireOnlineSafety2024
OpenDataPK|DatasetsOpen
OpenDataPortal|LKOpenDataPortal2024
PMDCProfessionalEthics|PMDCProfessional
PakistanMedicalDentalCouncil|pakistanMedicalDentalAct2022
PakistanTajikistan2022|PakistanTajikistanTransitAgreement2022
ParisConventionProtection1973|ParisConvention1973
PaymentSettlementSystems2018|srilankaPaymentSettlement2018
PaymentSettlementSystems2020|srilankaPaymentSettlement2020
PersonalData2019|srilankaPersonalData2019
PersonalDataProtection2022|srilankaPersonalDataAct2022
PersonalDataProtection2023|dailyftPersonalData2023
PressPublicationAct1991|nepalPressPublicationAct1991
ProactiveDisclosure2025|pereraProactiveDisclosure2025
PublicAccessGovernment1980|srilankaPublicAccess1980
PublicInformationDisclosure2008|indonesiaPublicInformationDisclosureAct2018
RaisaWickrematungaTelecommunications2018|RaisaWickrematunga2018
RightInformationAct2007|nepalRightInformationAct2007
RightInformationAct2016|srilankaRightInformationAct2016
SAFTA2004|SAFTA2004
SriLankaGovernmentFOSSAdoption|ictaFOSSAdoption2022
SriLankaOpenStreetMap|SriLanka2024b
SriLankaProposed2023|sriLankaProposedBill2023
StakeholderConsultationSri|StakeholderConsultationNDES2023
StatisticsAct2007|nepalStatisticsAct2007
