failing_citekey	replacement_key	comment
NationalPolicy2012	indiaNationalPolicyIT2012	
NationalDigitalGovernment	srilankaNationalDigitalPolicy2023	
srilankaIntellectualPropertyAct2003	srilankaIntellectualProperty2003	
PersonalDataProtection2022	srilankaPersonalData2022	
philippinesIdentification	philippinesIDSystemsAct2018	
indonesiaPublicInformationDisclosureAct2018	indonesiaPublicInformation2008	
srilankaConstitutionDemocratic2023	srilankaConstitution2023	
meitOpenGovernment2022	meitOGDPlatform2022	
royalgazetteAnnouncementDisclosure2020	thailandAnnouncementDisclosure2020	
indiaNationalPolicy2012	indiaNationalPolicyIT2012	
