Footnote,Citation Key 1,Pinpoint,Confidence,Original Content
"[^1]","@MeeraDhungana2007","","60","Writ No. 0545 of the year 2065 B.S. (2008) (Decision No.8928)"
"[^2]","@CompanyAct","","80","Writ No. 3561 of the year 2063 B.S. (2006)"
"[^3]","@nepalConstitutionNepal2015","Article 137","130","Article 137, Constitution of Nepal 2072 (2015)"
"[^4]","@globaldatabarometerNepal","art. 107","90","Interim Const. Of Nepal, 2063, art. 107 (1) (2); Const. Of The Kingdom Of Nepal, 2047, Art. 88\."
"[^5]","@nepalConstitutionNepal2015","","60","“PDF,” n.d."
"[^6]","@nationalstatisticsofficeNepal2021","","94","Bipin Adhikari, Constitutional Foundings in Nepal: Experience  with Changing Parameters in Kevin YL Tan & Ridwanul Hoque, Constitutional Foundings in South Asia 165 (Hart Publishing 2021)."
"[^7]","@globaldatabarometerNepal","Section 2","90","Section 2 (d), Electronic Transaction Act, 2063 (2008), “*means an electro-magnetic, optical or other high-speed data processing device or system, which performs logical, arithmetic and memory functions by manipulating electro-magnetic or optical impulses, and also includes all acts of input, output, processing, storage and computer software or communication facilities which are connected or related to the computer in any computer system or computer network*”"
"[^8]","@nepalPrivacyAct20752018","Section 2","130","Section 2 (e), The Privacy Act, 2075 (2018), Public body mean the following: (1)The Government of Nepal, Provincial Government or Local Level or government office under the Government of Nepal, Provincial Government or Local Level, (2) A court, other judicial body, constitutional body or office thereunder, (3) A regulatory body or office thereunder, (4) A company, bank, committee having full or partial ownership or control of the Government of Nepal, Provincial Government or Local Level or commission, corporation, authority, incorporation, academy, board, center, council and other body corporate of similar nature established by the Government of Nepal, Provincial Government or Local Level pursuant to law. (5) A political party and organization registered under prevailing law, (6) A university, college, school, research center and other similar academic or educational institution that has been established or operated by the Government of Nepal, Provincial Government or Local Level or that has obtained full or partial grants from the Government of Nepal, Provincial Government or Local Level. (7) An institution operated with credit, grant or guarantee of the Government of Nepal, Provincial Government or Local Level. (8) An institution having full or partial ownership or control of the body mentioned in sub-clause (1), (2), (3) or (4). (9) Any other institution specified by the Government of Nepal as a public entity by publishing a notice in the Nepal Gazette. "
"[^9]","@DirectiveManaging","","100","Directives for Managing the Use of Social Media, 2080 (2023), available at “https://api.giwms.gov.np/storage/22/posts/1701329617\_80.pdf” "
"[^10]","","","0","“PDF,” n.d."
"[^11]","@DirectiveManaging","Section 8","100","Section 8, Directives for Managing the Use of Social Networks, 2080 (2023)"
"[^12]","@nepalUnifiedDirectives20792023","","108","available at “https://www.nrb.org.np/contents/uploads/2023/02/Unified-Directives-2079-Magh-published.pdf“ (last accessed on 3rd October, 2023\)"
"[^13]","@PaymentSystem","","94","available at “https://www.nrb.org.np/contents/uploads/2023/01/PSD\_unified-Directive-2079\_Letter-combined.pdf” (last accessed on 3rd October, 2023\)"
"[^14]","@nepalUnifiedDirectives20792023","","93","available at “https://www.nrb.org.np/contents/uploads/2023/04/FXMD-Circular-18\_2079.80\_Unified-Circular-2079.pdf“ (last accessed on 3rd October, 2023\)"
"[^15]","","","0","Pranesh doc. "
"[^16]","@nepalConstitutionNepal2015","Article 51","130","Article 51 (f) (5), Constitution of Nepal, 2072 (2015)"
"[^17]","@nepalConstitutionNepal2015","Article 27","130","Article 27, Constitution of Nepal, 2072 (2015)"
"[^18]","@StatisticsAct2022","Section 2","100","Section 2 (b), Statistics Act, 2079 (2022)"
"[^19]","@Statistics1997","","60","“PDF,” n.d."
"[^20]","@StatisticsAct2022","Section 2","100","Section 2 (e), Statistics Act,2079 (2022)"
"[^21]","@Statistics1997","","60","“PDF,” n.d."
"[^22]","@StatisticsAct2022","Section 2","100","Section 2 (j), Statistics Act 2079 (2022)"
"[^23]","","","0","“PDF,” n.d."
"[^24]","@StatisticsAct2022","Section 15","100","Section 15, Statistics Act, 2079 (2022)"
"[^25]","@nepalministryoffederalaffairs&generaladministrationLocalBudget","","60","“PDF,” n.d."
"[^26]","@nationalstatisticalofficeNationalStatistical2023","","100","National Statistics Office, available at “https://censusnepal.cbs.gov.np/Home/Index/EN” (last accessed on 1st October, 2023\)"
"[^27]","@nationalstatisticsofficeNepal2021","","118","National Statistics Office, *Census Nepal 2021*."
"[^28]","@SECIView","","60","Interview with the interviewee from the  Central Bureau of Statistics, Annex-1"
"[^29]","@nepalNationalCyber2023","","82","National Data Profile, National Statistics Office, available at “http://nationaldata.gov.np/”(last accessed on 1st October, 2023\)"
"[^30]","@globaldatabarometerNepal","","90","“National Data Portal-Nepal.”"
