Marker	Footnote Content	Proposed Citekey	Pinpoint	Confidence
[^1]	Writ No. 0545 of the year 2065 B.S. (2008) (Decision No.8928)			0
[^2]	Writ No. 3561 of the year 2063 B.S. (2006)	@CompanyAct		27
[^3]	Article 137, Constitution of Nepal 2072 (2015)	@nepalConstitutionNepal2015		70
[^4]	Interim Const. Of Nepal, 2063, art. 107 (1) (2); Const. Of The Kingdom Of Nepal, 2047, Art. 88\.			0
[^5]	“PDF,” n.d.			0
[^6]	Bipin Adhikari, Constitutional Foundings in Nepal: Experience  with Changing Parameters in Kevin YL Tan & Ridwanul Hoque, Constitutional Foundings in South Asia 165 (Hart Publishing 2021).	@yltanConstitutionalFoundings		70
[^7]	Section 2 (d), Electronic Transaction Act, 2063 (2008), “*means an electro-magnetic, optical or other high-speed data processing device or system, which performs logical, arithmetic and memory functions by manipulating electro-magnetic or optical impulses, and also includes all acts of input, output, processing, storage and computer software or communication facilities which are connected or related to the computer in any computer system or computer network*”	@ElectronicTransactions	Section 2	30
[^8]	Section 2 (e), The Privacy Act, 2075 (2018), Public body mean the following: (1)The Government of Nepal, Provincial Government or Local Level or government office under the Government of Nepal, Provincial Government or Local Level, (2) A court, other judicial body, constitutional body or office thereunder, (3) A regulatory body or office thereunder, (4) A company, bank, committee having full or partial ownership or control of the Government of Nepal, Provincial Government or Local Level or commission, corporation, authority, incorporation, academy, board, center, council and other body corporate of similar nature established by the Government of Nepal, Provincial Government or Local Level pursuant to law. (5) A political party and organization registered under prevailing law, (6) A university, college, school, research center and other similar academic or educational institution that has been established or operated by the Government of Nepal, Provincial Government or Local Level or that has obtained full or partial grants from the Government of Nepal, Provincial Government or Local Level. (7) An institution operated with credit, grant or guarantee of the Government of Nepal, Provincial Government or Local Level. (8) An institution having full or partial ownership or control of the body mentioned in sub-clause (1), (2), (3) or (4). (9) Any other institution specified by the Government of Nepal as a public entity by publishing a notice in the Nepal Gazette. 	@nepalPrivacyAct20752018	Section 2	70
[^9]	Directives for Managing the Use of Social Media, 2080 (2023), available at “https://api.giwms.gov.np/storage/22/posts/1701329617\_80.pdf” 	@HttpsRtigovpk		40
[^10]	“PDF,” n.d.			0
[^11]	Section 8, Directives for Managing the Use of Social Networks, 2080 (2023)	@DirectiveManaging	Section 8	40
[^12]	available at “https://www.nrb.org.np/contents/uploads/2023/02/Unified-Directives-2079-Magh-published.pdf“ (last accessed on 3rd October, 2023\)	@nepalUnifiedDirectives20792023		45
[^13]	available at “https://www.nrb.org.np/contents/uploads/2023/01/PSD\_unified-Directive-2079\_Letter-combined.pdf” (last accessed on 3rd October, 2023\)	@HttpsRtigovpk		40
[^14]	available at “https://www.nrb.org.np/contents/uploads/2023/04/FXMD-Circular-18\_2079.80\_Unified-Circular-2079.pdf“ (last accessed on 3rd October, 2023\)	@HttpsRtigovpk		40
[^15]	Pranesh doc. 			0
[^16]	Article 51 (f) (5), Constitution of Nepal, 2072 (2015)	@nepalConstitutionNepal2015		70
[^17]	Article 27, Constitution of Nepal, 2072 (2015)	@nepalConstitutionNepal2015		70
[^18]	Section 2 (b), Statistics Act, 2079 (2022)	@indonesiaStatisticsAct1997	Section 2	70
[^19]	“PDF,” n.d.			0
[^20]	Section 2 (e), Statistics Act,2079 (2022)	@indonesiaStatisticsAct1997	Section 2	70
[^21]	“PDF,” n.d.			0
[^22]	Section 2 (j), Statistics Act 2079 (2022)	@indonesiaStatisticsAct1997	Section 2	70
[^23]	“PDF,” n.d.			0
[^24]	Section 15, Statistics Act, 2079 (2022)	@indonesiaStatisticsAct1997	Section 15	70
[^25]	“PDF,” n.d.			0
[^26]	National Statistics Office, available at “https://censusnepal.cbs.gov.np/Home/Index/EN” (last accessed on 1st October, 2023\)	@srilankaDepartmentCensusDissemination2023		47
[^27]	National Statistics Office, *Census Nepal 2021*.	@nationalstatisticsofficeNepal2021		52
[^28]	Interview with the interviewee from the  Central Bureau of Statistics, Annex-1	@indonesiaStatisticsAct1997		40
[^29]	National Data Profile, National Statistics Office, available at “http://nationaldata.gov.np/”(last accessed on 1st October, 2023\)	@indonesiaStatisticsAct1997		40
[^30]	“National Data Portal-Nepal.”	@NationalData		70
[^31]	Digital Nepal Framework, 2019, available at “https://drc.gov.np/storage/backend/pages/resources/others/D8lp6S0TBu0kqwXB7V90hB9aodF4v6qTLGzUvN7M.pdf”	@DigitalFramework		90
[^32]	Digital Nepal Framework, 2019 (developing the ICT Industry Sector, point 4.5 , pg.276)	@DigitalFramework		90
[^33]	Supreme Court of Nepal, available at “https://supremecourt.gov.np/web/” (last accessed on 1st October, 2023\)	@HttpsRtigovpk		40
[^34]	“Supreme Court Nepal.”	@SupremeCourtNepal		70
[^35]	Nepal Kannon Patrika, available at “https://nkp.gov.np/” 	@NepalKannon		70
[^36]	Fiscal Budget, available at “https://www.mof.gov.np/site/publication-detail/3249” (last accessed on 5th October, 2023\)	@ministryoffinanceFiscalBudget2023		90
[^37]	Ministry of Finance, *Fiscal Budget*.	@ministryoffinanceFiscalBudget2023		70
[^38]	Available at “https://mofaga.gov.np/lgbudget”	@HttpsRtigovpk		40
